2019/08/12 14:23:09.726 [I] [reportthree.go:54] 开始执行脚本---CountLog
2019/08/12 14:23:09.726 [I] [reportthree.go:56] logUrl:%!(EXTRA string=./hdfslog/20190811)
2019/08/12 14:23:09.734 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.735 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.736 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.737 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.737 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.739 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.743 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.746 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.751 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.754 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.757 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.763 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.769 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.770 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.774 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.777 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.783 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.785 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.792 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.804 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.806 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.812 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.814 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.815 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.816 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.816 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.819 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.822 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.825 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.828 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.837 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.841 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.842 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.846 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.848 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.851 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.857 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.861 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.869 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.871 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.877 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.878 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.878 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.879 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.880 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.883 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.885 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.889 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.893 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.896 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.899 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.905 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.908 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.910 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.913 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.917 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.922 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.925 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.931 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.942 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.944 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.950 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.952 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.952 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.953 [I] [common.go:191] File read ok!
2019/08/12 14:23:09.954 [I] [common.go:191] File read ok!
